synon_skill,skill_description,,
Cost Accounting,"Cost Accounting is a type of managerial accounting that tries to capture a company's overall cost of production by measuring variable costs of each stage of production as well as fixed expenses, such as a leasing fee.",,
Statspack,"Statspack is a set of performance monitoring, diagnosis and reporting utility.",,
Luminate Control Tower,"Luminate Control Tower empowers to find,understand and act on real-time data from the complete digital ecosystem, including third-party data sources.",,
RoboHelp,RoboHelp is a help authoring tool developed and published by Adobe Inc. for Windows.,,
NuGenesis,"NuGenesis is a Laboratory Management System that incorporates synergistic data, workflow, and sample management capabilities to support the entire product lifecycle, from discovery to manufacturing.",,
Pelvic Laparoscopy,Pelvic Laparoscopy is a type of surgery that allows doctor to see and treat organs and tissues inside pelvis with a laparoscope.,,
BambooHR,BambooHR is a cloud-based solution that provides a simple and cost-effective approach for growing businesses to handle critical personnel information in a tailored human resources information system.,,
Cloud Audit Logs,"Cloud Audit Logs is a security solution that offers audit logs of google cloud platform user activities. The service is also integrated with google cloud's access transparency service, which displays records of google cloud platform,  administrator access to systems and data in near real time.",,
Bidirectional Forwarding Detection (BFD),Bidirectional Forwarding Detection (BFD) is a network protocol that detects faults between two routers or switches linked by a connection.,,
Data Manipulation,"Data manipulation is the process of changing data to make it easier to read or be more organized, it is used on web server logs to allow a website owner to view their popular pages and traffic sources.",,
Critical Path Method (CPM),Critical path method is a scheduling algorithm for a set of project activities. It is commonly used in conjunction with the programme evaluation and review technique.,,
